"Alert Name","Condition","Violation","Severity","Occurrence Time","Resource","Internal Resource","Alert Source"
"Write Response Time",">= 5 ms/op","8.29 ms/op","Warning","May 10, 2020, 10:22:24","CH-IBM.2107-75KBD21","czas0005_i_105C_105c","CH-IBM.2107-75KBD21"
"Write Response Time",">= 5 ms/op","6.37 ms/op","Warning","May 10, 2020, 10:22:24","CH-IBM.2107-75KBD21","czas0005_i_1028_1028","CH-IBM.2107-75KBD21"
"Write Response Time",">= 5 ms/op","6.6 ms/op","Warning","May 10, 2020, 10:22:24","CH-IBM.2107-75KBD21","czas0005_i_115D_115d","CH-IBM.2107-75KBD21"
"Write Response Time",">= 5 ms/op","7.01 ms/op","Warning","May 10, 2020, 10:22:24","CH-IBM.2107-75KBD21","czas0005_i_1153_1153","CH-IBM.2107-75KBD21"
"Write Response Time",">= 1 ms/op","2.58 ms/op","Warning","May 10, 2020, 10:25:22","CH-IBM.2107-75KBD21","FB_pool_1","CH-IBM.2107-75KBD21"
"Write Response Time",">= 1 ms/op","2.38 ms/op","Warning","May 10, 2020, 10:25:22","CH-IBM.2107-75KBD21","FB_pool_0","CH-IBM.2107-75KBD21"
"Write Response Time",">= 5 ms/op","5.12 ms/op","Warning","May 10, 2020, 10:26:24","CH-IBM.2107-75KBD21","czas0005_i_1180_1180","CH-IBM.2107-75KBD21"
"Write Response Time",">= 1 ms/op","1.12 ms/op","Warning","May 16, 2020, 10:21:23","CH-IBM.2107-75KBD21","FB_pool_1","CH-IBM.2107-75KBD21"
"Write Response Time",">= 1 ms/op","1.28 ms/op","Warning","May 16, 2020, 10:24:22","CH-IBM.2107-75KBD21","FB_pool_0","CH-IBM.2107-75KBD21"
"Write Response Time",">= 1 ms/op","1.08 ms/op","Warning","May 16, 2020, 10:36:24","CH-IBM.2107-75KBD21","FB_pool_1","CH-IBM.2107-75KBD21"
"Write Response Time",">= 1 ms/op","1.58 ms/op","Warning","May 17, 2020, 10:06:24","CH-IBM.2107-75KBD21","FB_pool_1","CH-IBM.2107-75KBD21"
"Write Response Time",">= 5 ms/op","7.1 ms/op","Warning","May 17, 2020, 10:16:24","CH-IBM.2107-75KBD21","czas0005_i_107A_107a","CH-IBM.2107-75KBD21"
"Write Response Time",">= 5 ms/op","11 ms/op","Warning","May 17, 2020, 10:16:24","CH-IBM.2107-75KBD21","czas0005_i_1080_1080","CH-IBM.2107-75KBD21"
"Write Response Time",">= 5 ms/op","8.46 ms/op","Warning","May 17, 2020, 10:16:24","CH-IBM.2107-75KBD21","czas0005_i_107D_107d","CH-IBM.2107-75KBD21"
"Write Response Time",">= 5 ms/op","8.74 ms/op","Warning","May 17, 2020, 10:16:24","CH-IBM.2107-75KBD21","czas0005_i_1070_1070","CH-IBM.2107-75KBD21"
"Write Response Time",">= 5 ms/op","9.48 ms/op","Warning","May 17, 2020, 10:16:24","CH-IBM.2107-75KBD21","czas0005_i_1081_1081","CH-IBM.2107-75KBD21"
"Write Response Time",">= 5 ms/op","8.58 ms/op","Warning","May 17, 2020, 10:16:24","CH-IBM.2107-75KBD21","czas0005_i_1068_1068","CH-IBM.2107-75KBD21"
"Write Response Time",">= 5 ms/op","8.5 ms/op","Warning","May 17, 2020, 10:16:24","CH-IBM.2107-75KBD21","czas0005_i_1076_1076","CH-IBM.2107-75KBD21"
"Write Response Time",">= 5 ms/op","8.37 ms/op","Warning","May 17, 2020, 10:16:24","CH-IBM.2107-75KBD21","czas0005_i_1061_1061","CH-IBM.2107-75KBD21"
"Write Response Time",">= 5 ms/op","7.97 ms/op","Warning","May 17, 2020, 10:16:24","CH-IBM.2107-75KBD21","czas0005_i_1083_1083","CH-IBM.2107-75KBD21"
"Write Response Time",">= 1 ms/op","3.3 ms/op","Warning","May 17, 2020, 10:16:24","CH-IBM.2107-75KBD21","FB_pool_0","CH-IBM.2107-75KBD21"
"Write Response Time",">= 5 ms/op","8.82 ms/op","Warning","May 17, 2020, 10:16:24","CH-IBM.2107-75KBD21","czas0005_i_105F_105f","CH-IBM.2107-75KBD21"
"Write Response Time",">= 5 ms/op","9.35 ms/op","Warning","May 17, 2020, 10:16:24","CH-IBM.2107-75KBD21","czas0005_i_1060_1060","CH-IBM.2107-75KBD21"
